State,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,Williams,67,171,7,466.0445194244385,117982.0,4844289.0,4844289.0
AR,Williams,75,192,4,81.42010498046875,9206.0,3933011.996762993,3933011.9967629905
IA,Williams,99,222,4,295.0493965148926,21877.0,5288752.999999997,5288752.999999997
KS,Williams,105,263,4,352.72228622436523,15555.0,4015151.0000000014,4015151.0000000014
ME,Williams,16,34,2,0.1083221435546875,80.0,1200838.000000001,1200838.000000001
MS,Williams,82,202,4,140.48908615112305,11471.0,4723141.999999993,4723141.999999993
NE,Williams,93,231,3,13.002922058105469,2252.0,2525974.0000000033,2525974.0000000033
NM,Williams,33,78,3,0.47774314880371094,297.0,1753078.9999999881,1753078.9999999881
WV,Williams,55,125,2,1.8658008575439453,1385.0,3900449.999999958,3900449.999999958
ID,Williams,44,102,2,0.5933799743652344,1.0,3237073.0,3237073.0
MT,Williams,56,138,2,0.7893047332763672,1961.0,1750470.9999999986,1750470.9999999974
AL,Hess,67,171,7,63.85068702697754,3834.0,4844289.0,4844289.0
AR,Hess,75,192,4,2.124492645263672,1.0,3930146.0,3930146.0
IA,Hess,99,222,4,6.693470001220703,1.0,5286772.0,5286772.0
KS,Hess,105,263,4,11.853679656982422,1.0,4007553.0,4007553.0
ME,Hess,16,34,2,0.038898468017578125,1.0,1200838.0,1200838.0
MS,Hess,82,202,4,3.5344371795654297,1.0,4721804.0,4721804.0
NE,Hess,93,231,3,3.0099258422851562,1.0,2525974.0,2525974.0
NM,Hess,33,78,3,0.7670974731445312,1.0,1743350.0,1743350.0
WV,Hess,55,125,2,0.5694293975830078,1.0,3900450.0,3900450.0
ID,Hess,44,102,2,0.29752159118652344,1.0,3237073.0,3237073.0
MT,Hess,56,138,2,0.5146350860595703,1.0,1750471.0,1750471.0
