State,Level,Model,Primal Vertices,Edges,Districts,Number of Max Clique,Run Time (Seconds),Callback Time (Seconds),Time without Callbacks (Seconds),Branch and Bound Nodes,Number of Callbacks,Number of Lazy Constraints Added,Objective Value,Objective Bound,heur_obj,heur_time,heur_iter
MT,tract,Hess,319,840,2,n/a,69.88366889953613,0,69.88366889953613,1.0,0,0,3577392.0,3577392.0,n/a,n/a,n/a
MT,tract,Williams_flow,319,840,2,n/a,3600.131753921509,0,3600.131753921509,3737.0,0,0,3655258.9999990375,1721865.1218078271,n/a,n/a,n/a
MT,tract,Hess,319,840,2,n/a,49.72662925720215,0,49.72662925720215,1.0,0,0,3577392.0,3577392.0,3581613,161.57,100
MT,tract,Williams_flow,319,840,2,n/a,3600.082763671875,0,3600.082763671875,2161.0,0,0,3577391.9999993565,1720097.6311137076,3581613,161.57,100
MT,tract,Williams_flow,319,840,2,n/a,3600.0058460235596,106.9777901172638,3493.028055906296,2134.0,41372,6,3579192.999999684,1782491.3175487346,3581613,161.57,100
MT,tract,Williams_flow,319,840,2,n/a,3600.0114574432373,115.23784017562866,3484.7736172676086,2307.0,43614,24,3747761.999997698,1778401.1044339936,n/a,n/a,n/a
