State,level,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,County,Williams_cuts,67,171,7,925.6382465362549,141617.0,4844288.999999574,4844288.999999574
AR,County,Williams_cuts,75,192,4,166.05769538879395,9937.0,3933011.999999945,3933011.999999944
IA,County,Williams_cuts,99,222,4,671.5476551055908,20131.0,5288752.999999541,5288752.999999541
KS,County,Williams_cuts,105,263,4,759.4114952087402,16344.0,4015150.999999991,4015150.999999991
ME,County,Williams_cuts,16,34,2,0.1874980926513672,65.0,1200837.9999999632,1200837.9999999632
MS,County,Williams_cuts,82,202,4,668.4328746795654,23284.0,4723141.999999976,4723141.999999976
NE,County,Williams_cuts,93,231,3,15.44515609741211,2211.0,2525973.999999922,2525973.999999922
NM,County,Williams_cuts,33,78,3,0.7590656280517578,586.0,1753078.9999999066,1753078.9999999064
WV,County,Williams_cuts,55,125,2,4.575216293334961,820.0,3900449.999999985,3900449.999999986
ID,County,Williams_cuts,44,102,2,2.4582252502441406,458.0,3237073.0,3237073.0
