State,Model,Primal Vertices,Edges,Districts,Run Time (Seconds),Branch and Bound Nodes,Objective Value,Objective Bound
AL,Williams,67,171,7,84.61,17559,4844289,4844289
AR,Williams,75,192,4,71.69,9562,3933012,3933012
IA,Williams,99,222,4,85.33,1928,5331748,5331748
KS,Williams,105,263,4,251.60,11708,4015151,4015151
ME,Williams,16,34,2,0.06,88,1200838,1200838
MS,Williams,82,202,4,175.34,19752,4723142,4723142
NE,Williams,93,231,3,9.92,1198,2525974,2525974
NM,Williams,33,78,3,0.36,344,1753079,1753079
WV,Williams,55,125,2,1.30,1205,3900450,3900450
ID,Williams,44,102,2,0.36,1,3237073,3237073
MT,Williams,56,138,2,2.89,779,1750471,1750471
AL,Hess,67,171,7,196.61,28689,4844289,4844289
AR,Hess,75,192,4,1.61,1,3930146,3930146
IA,Hess,99,222,4,5.28,1,5286772,5286772
KS,Hess,105,263,4,10.72,1,4007553,4007553
ME,Hess,16,34,2,0.03,1,1200838,1200838
MS,Hess,82,202,4,3.32,1,4721804,4721804
NE,Hess,93,231,3,2.55,1,2525974,2525974
NM,Hess,33,78,3,0.69,1,1743350,1743350
WV,Hess,55,125,2,0.50,1,3900450,3900450
ID,Hess,44,102,2,0.27,1,3237073,3237073
MT,Hess,56,138,2,0.44,1,1750471,1750471
